"","team1","team2","winner","season","team1_seed","team2_seed"
"241","Minnesota","Gonzaga","Gonzaga",1999,7,10
"242","Stanford","Alcorn State","Stanford",1999,2,15
"243","UConn","New Mexico","UConn",1999,1,9
"244","Iowa","Arkansas","Iowa",1999,5,4
"245","Florida","Weber State","Florida",1999,6,14
"246","Gonzaga","Stanford","Gonzaga",1999,10,2
"247","UConn","Iowa","UConn",1999,1,5
"248","Florida","Gonzaga","Gonzaga",1999,6,10
"249","UConn","Gonzaga","UConn",1999,1,10
"250","UConn","Ohio State","UConn",1999,1,4
"251","Michigan State","Duke","Duke",1999,1,1
"252","UConn","Duke","Duke",1999,1,1
"253","Duke","Lamar","Duke",2000,1,16
"254","Kansas","DePaul","Kansas",2000,8,9
"255","Florida","Butler","Florida",2000,5,12
"256","Illinois","Penn","Illinois",2000,4,13
"257","Indiana","Pepperdine","Pepperdine",2000,6,11
"258","Oklahoma State","Hofstra","Oklahoma State",2000,3,14
"259","Oregon","Seton Hall","Seton Hall",2000,7,10
"260","Temple","Lafayette","Temple",2000,2,15
"261","Duke","Kansas","Duke",2000,1,8
"262","Florida","Illinois","Florida",2000,5,4
"263","Pepperdine","Oklahoma State","Oklahoma State",2000,11,3
"264","Seton Hall","Temple","Seton Hall",2000,10,2
"265","Duke","Florida","Florida",2000,1,5
"266","Oklahoma State","Seton Hall","Oklahoma State",2000,3,10
"267","Florida","Oklahoma State","Florida",2000,5,3
"268","Michigan State","Valparaiso","Michigan State",2000,1,16
"269","Utah","Saint Louis","Utah",2000,8,9
"270","Kentucky","St. Bonaventure","Kentucky",2000,5,12
"271","Syracuse","Samford","Syracuse",2000,4,13
"272","UCLA","Ball State","UCLA",2000,6,11
"273","Maryland","Iona","Maryland",2000,3,14
"274","Auburn","Creighton","Auburn",2000,7,10
"275","Iowa State","Central Connecticut","Iowa State",2000,2,15
"276","Michigan State","Utah","Michigan State",2000,1,8
"277","Kentucky","Syracuse","Syracuse",2000,5,4
"278","UCLA","Maryland","UCLA",2000,6,3
"279","Auburn","Iowa State","Iowa State",2000,7,2
"280","Michigan State","Syracuse","Michigan State",2000,1,4
"281","UCLA","Iowa State","Iowa State",2000,6,2
"282","Michigan State","Iowa State","Michigan State",2000,1,2
"283","Stanford","South Carolina State","Stanford",2000,1,16
"284","UNC","Missouri","UNC",2000,8,9
"285","UConn","Utah State","UConn",2000,5,12
"286","Tennessee","Louisiana","Tennessee",2000,4,13
"287","Miami (FL)","Arkansas","Miami (FL)",2000,6,11
"288","Ohio State","Appalachian State","Ohio State",2000,3,14
"289","Tulsa","UNLV","Tulsa",2000,7,10
"290","Cincinnati","UNC Wilmington","Cincinnati",2000,2,15
"291","Stanford","UNC","UNC",2000,1,8
"292","UConn","Tennessee","Tennessee",2000,5,4
"293","Miami (FL)","Ohio State","Miami (FL)",2000,6,3
"294","Tulsa","Cincinnati","Tulsa",2000,7,2
"295","UNC","Tennessee","UNC",2000,8,4
"296","Miami (FL)","Tulsa","Tulsa",2000,6,7
"297","UNC","Tulsa","UNC",2000,8,7
"298","Arizona","Jackson State","Arizona",2000,1,16
"299","Wisconsin","Fresno State","Wisconsin",2000,8,9
"300","Texas","Indiana State","Texas",2000,5,12
"301","LSU","Southeast Missouri State","LSU",2000,4,13
"302","Purdue","Dayton","Purdue",2000,6,11
"303","Oklahoma","Winthrop","Oklahoma",2000,3,14
"304","Louisville","Gonzaga","Gonzaga",2000,7,10
"305","St. John's (NY)","Northern Arizona","St. John's (NY)",2000,2,15
