season,wteam,lteam,School,OverallG,OverallW,OverallL,OverallW.L_percent,OverallSRS,OverallSOS,Conf.W,Conf.L,PointsTm.,PointsOpp.,School.TotalsFG,School.TotalsFGA,School.TotalsFG_percent,School.Totals3P,School.Totals3PA,School.Totals3P_percent,School.TotalsFT,School.TotalsFTA,School.TotalsFT_percent,School.TotalsTRB,School.TotalsAST,School.TotalsSTL,School.TotalsBLK,SchoolAdvancedFTr,SchoolAdvanced3PAr,SchoolAdvancedTS_percent,SchoolAdvancedTRB_percent,SchoolAdvancedAST_percent,SchoolAdvancedBLK_percent,SchoolAdvancedeFG_percent,SchoolAdvancedFT.FGA,season.2,seed,School.1,OverallG.1,OverallW.1,OverallL.1,OverallW.L_percent.1,OverallSRS.1,OverallSOS.1,Conf.W.1,Conf.L.1,PointsTm..1,PointsOpp..1,School.TotalsFG.1,School.TotalsFGA.1,School.TotalsFG_percent.1,School.Totals3P.1,School.Totals3PA.1,School.Totals3P_percent.1,School.TotalsFT.1,School.TotalsFTA.1,School.TotalsFT_percent.1,School.TotalsTRB.1,School.TotalsAST.1,School.TotalsSTL.1,School.TotalsBLK.1,SchoolAdvancedFTr.1,SchoolAdvanced3PAr.1,SchoolAdvancedTS_percent.1,SchoolAdvancedTRB_percent.1,SchoolAdvancedAST_percent.1,SchoolAdvancedBLK_percent.1,SchoolAdvancedeFG_percent.1,SchoolAdvancedFT.FGA.1,season.1,seed.1,variable
2007,Maryland,Davidson,Maryland,34,25,9,0.735,19.06,7.59,10,6,2685,2295,971,2032,0.478,196,509,0.385,547,787,0.695,1325,587,253,233,0.387,0.25,0.558,51.3,60.5,11,0.526,0.269,2007,4,Davidson,34,29,5,0.853,8.31,-2.26,17,1,2765,2336,969,2157,0.449,328,888,0.369,499,663,0.753,1378,559,272,91,0.307,0.412,0.559,54.4,57.7,4.6,0.525,0.231,2007,13,wteam
2007,Winthrop,Notre Dame,Winthrop,34,29,5,0.853,9.17,-1.2,14,0,2545,2088,923,1935,0.477,278,773,0.36,421,675,0.624,1279,567,268,126,0.349,0.399,0.564,54.8,61.4,6.9,0.549,0.218,2007,11,Notre Dame,32,24,8,0.75,16.94,4.97,11,5,2592,2176,869,1893,0.459,287,735,0.39,567,763,0.743,1229,552,271,110,0.403,0.388,0.575,52.9,63.5,5.8,0.535,0.3,2007,6,wteam
2007,Oregon,Miami (OH),Oregon,37,29,8,0.784,15.95,6.3,11,7,2807,2450,963,2131,0.452,350,897,0.39,531,698,0.761,1273,513,254,74,0.328,0.421,0.57,51.5,53.3,3.6,0.534,0.249,2007,3,Miami (OH),33,18,15,0.545,4.81,2.78,10,6,1962,1895,720,1565,0.46,169,508,0.333,353,498,0.709,998,421,187,135,0.318,0.325,0.545,49.7,58.5,8.2,0.514,0.226,2007,14,wteam
2007,Nevada-Las Vegas,Georgia Tech,Nevada-Las Vegas,37,30,7,0.811,12.98,5.37,12,4,2772,2470,979,2202,0.445,289,802,0.36,525,733,0.716,1293,548,289,197,0.333,0.364,0.543,49.8,56,9.7,0.51,0.238,2007,7,Georgia Tech,32,20,12,0.625,17.17,9.36,8,8,2515,2222,935,1909,0.49,201,540,0.372,444,652,0.681,1166,491,316,114,0.342,0.283,0.567,54.3,52.5,6.7,0.542,0.233,2007,10,wteam
2007,Wisconsin,Texas A&M-Corpus Christi,Wisconsin,36,30,6,0.833,19.28,6.95,13,3,2527,2083,867,1886,0.46,210,597,0.352,583,848,0.688,1258,494,207,116,0.45,0.317,0.552,53.5,57,6.2,0.515,0.309,2007,2,Texas A&M-Corpus Christi,33,26,7,0.788,3.07,-4.8,14,2,2615,2302,912,1747,0.522,192,478,0.402,599,847,0.707,1173,595,257,95,0.485,0.274,0.608,54.9,65.2,5.2,0.577,0.343,2007,15,wteam
2007,Florida,Purdue,Florida,40,35,5,0.875,23.82,7.34,13,3,3193,2504,1125,2138,0.526,297,727,0.409,646,936,0.69,1504,614,266,194,0.438,0.34,0.618,56.4,54.6,8.4,0.596,0.302,2007,1,Purdue,34,22,12,0.647,14.65,8.89,9,7,2376,2154,843,1834,0.46,219,614,0.357,471,695,0.678,1121,465,269,89,0.379,0.335,0.549,50.9,55.2,5.1,0.519,0.257,2007,9,wteam
2007,Butler,Maryland,Butler,36,29,7,0.806,14.34,3.94,13,3,2434,2056,780,1792,0.435,321,871,0.369,553,728,0.76,1068,437,195,64,0.406,0.486,0.569,48.8,56,3.8,0.525,0.309,2007,5,Maryland,34,25,9,0.735,19.06,7.59,10,6,2685,2295,971,2032,0.478,196,509,0.385,547,787,0.695,1325,587,253,233,0.387,0.25,0.558,51.3,60.5,11,0.526,0.269,2007,4,wteam
2007,Oregon,Winthrop,Oregon,37,29,8,0.784,15.95,6.3,11,7,2807,2450,963,2131,0.452,350,897,0.39,531,698,0.761,1273,513,254,74,0.328,0.421,0.57,51.5,53.3,3.6,0.534,0.249,2007,3,Winthrop,34,29,5,0.853,9.17,-1.2,14,0,2545,2088,923,1935,0.477,278,773,0.36,421,675,0.624,1279,567,268,126,0.349,0.399,0.564,54.8,61.4,6.9,0.549,0.218,2007,11,wteam
2007,Nevada-Las Vegas,Wisconsin,Nevada-Las Vegas,37,30,7,0.811,12.98,5.37,12,4,2772,2470,979,2202,0.445,289,802,0.36,525,733,0.716,1293,548,289,197,0.333,0.364,0.543,49.8,56,9.7,0.51,0.238,2007,7,Wisconsin,36,30,6,0.833,19.28,6.95,13,3,2527,2083,867,1886,0.46,210,597,0.352,583,848,0.688,1258,494,207,116,0.45,0.317,0.552,53.5,57,6.2,0.515,0.309,2007,2,wteam
2007,Florida,Butler,Florida,40,35,5,0.875,23.82,7.34,13,3,3193,2504,1125,2138,0.526,297,727,0.409,646,936,0.69,1504,614,266,194,0.438,0.34,0.618,56.4,54.6,8.4,0.596,0.302,2007,1,Butler,36,29,7,0.806,14.34,3.94,13,3,2434,2056,780,1792,0.435,321,871,0.369,553,728,0.76,1068,437,195,64,0.406,0.486,0.569,48.8,56,3.8,0.525,0.309,2007,5,wteam
